cod_ibge,nome,uf,mesorregiao,microrregiao
"5200050","Abadia de Goiás","GO","Centro Goiano","Goiânia"
"3100104","Abadia dos Dourados","MG","Triângulo Mineiro/Alto Paranaíba","Patrocínio"
"5200100","Abadiânia","GO","Leste Goiano","Entorno de Brasília"
"3100203","Abaeté","MG","Central Mineira","Três Marias"
"1500107","Abaetetuba","PA","Nordeste Paraense","Cametá"
"2300101","Abaiara","CE","Sul Cearense","Brejo Santo"
"2900108","Abaíra","BA","Centro Sul Baiano","Seabra"
"2900207","Abaré","BA","Vale São-Franciscano da Bahia","Paulo Afonso"
"4100103","Abatiá","PR","Norte Pioneiro Paranaense","Cornélio Procópio"
"4200051","Abdon Batista","SC","Serrana","Curitibanos"
"1500131","Abel Figueiredo","PA","Sudeste Paraense","Paragominas"
"4200101","Abelardo Luz","SC","Oeste Catarinense","Xanxerê"
"3100302","Abre Campo","MG","Zona da Mata","Manhuaçu"
"2600054","Abreu e Lima","PE","Metropolitana de Recife","Recife"
"1700251","Abreulândia","TO","Ocidental do Tocantins","Miracema do Tocantins"
"3100401","Acaiaca","MG","Zona da Mata","Ponte Nova"
"2100055","Açailândia","MA","Oeste Maranhense","Imperatriz"
"2900306","Acajutiba","BA","Nordeste Baiano","Alagoinhas"
"1500206","Acará","PA","Nordeste Paraense","Tomé-Açu"
"2300150","Acarape","CE","Norte Cearense","Baturité"
"2300200","Acaraú","CE","Noroeste Cearense","Litoral de Camocim e Acaraú"
"2400109","Acari","RN","Central Potiguar","Seridó Oriental"
"2200053","Acauã","PI","Sudeste Piauiense","Alto Médio Canindé"
"4300034","Aceguá","RS","Sudoeste Rio-grandense","Campanha Meridional"
"2300309","Acopiara","CE","Sertões Cearenses","Sertão de Senador Pompeu"
"5100102","Acorizal","MT","Centro-Sul Mato-grossense","Rosário Oeste"
"1200013","Acrelândia","AC","Vale do Acre","Rio Branco"
"5200134","Acreúna","GO","Sul Goiano","Vale do Rio dos Bois"
"3100500","Açucena","MG","Vale do Rio Doce","Ipatinga"
"3500105","Adamantina","SP","Presidente Prudente","Adamantina"
"5200159","Adelândia","GO","Centro Goiano","Anicuns"
"3500204","Adolfo","SP","São José do Rio Preto","São José do Rio Preto"
"4100202","Adrianópolis","PR","Metropolitana de Curitiba","Cerro Azul"
"2900355","Adustina","BA","Nordeste Baiano","Ribeira do Pombal"
"2600104","Afogados da Ingazeira","PE","Sertão Pernambucano","Pajeú"
"2400307","Afonso Bezerra","RN","Central Potiguar","Angicos"
"3200102","Afonso Cláudio","ES","Central Espírito-santense","Afonso Cláudio"
"2100105","Afonso Cunha","MA","Leste Maranhense","Coelho Neto"
"2600203","Afrânio","PE","São Francisco Pernambucano","Petrolina"
"1500305","Afuá","PA","Marajó","Furos de Breves"
"2600302","Agrestina","PE","Agreste Pernambucano","Brejo Pernambucano"
"2200103","Agricolândia","PI","Centro-Norte Piauiense","Médio Parnaíba Piauiense"
"4200200","Agrolândia","SC","Vale do Itajaí","Ituporanga"
"4200309","Agronômica","SC","Vale do Itajaí","Rio do Sul"
"1500347","Água Azul do Norte","PA","Sudeste Paraense","Parauapebas"
"3100609","Água Boa","MG","Vale do Rio Doce","Peçanha"
"5100201","Água Boa","MT","Nordeste Mato-grossense","Canarana"
"2700102","Água Branca","AL","Sertão Alagoano","Serrana do Sertão Alagoano"
"2200202","Água Branca","PI","Centro-Norte Piauiense","Médio Parnaíba Piauiense"
"2500106","Água Branca","PB","Sertão Paraibano","Serra do Teixeira"
"5000203","Água Clara","MS","Leste de Mato Grosso do Sul","Três Lagoas"
"3100708","Água Comprida","MG","Triângulo Mineiro/Alto Paranaíba","Uberaba"
"4200408","Água Doce","SC","Oeste Catarinense","Joaçaba"
"2100154","Água Doce do Maranhão","MA","Leste Maranhense","Baixo Parnaíba Maranhense"
"3200169","Água Doce do Norte","ES","Noroeste Espírito-santense","Barra de São Francisco"
"2900405","Água Fria","BA","Centro Norte Baiano","Feira de Santana"
"5200175","Água Fria de Goiás","GO","Leste Goiano","Entorno de Brasília"
"5200209","Água Limpa","GO","Sul Goiano","Meia Ponte"
"2400406","Água Nova","RN","Oeste Potiguar","Serra de São Miguel"
"2600401","Água Preta","PE","Mata Pernambucana","Mata Meridional Pernambucana"
"4300059","Água Santa","RS","Noroeste Rio-grandense","Passo Fundo"
"3500303","Aguaí","SP","Campinas","Pirassununga"
"3100807","Aguanil","MG","Oeste de Minas","Campo Belo"
"2600500","Águas Belas","PE","Agreste Pernambucano","Vale do Ipanema"
"3500402","Águas da Prata","SP","Campinas","São João da Boa Vista"
"4200507","Águas de Chapecó","SC","Oeste Catarinense","Chapecó"
"3500501","Águas de Lindóia","SP","Campinas","Amparo"
"3500550","Águas de Santa Bárbara","SP","Bauru","Avaré"
"3500600","Águas de São Pedro","SP","Piracicaba","Piracicaba"
"3100906","Águas Formosas","MG","Vale do Mucuri","Nanuque"
"4200556","Águas Frias","SC","Oeste Catarinense","Chapecó"
"5200258","Águas Lindas de Goiás","GO","Leste Goiano","Entorno de Brasília"
"4200606","Águas Mornas","SC","Grande Florianópolis","Tabuleiro"
"3101003","Águas Vermelhas","MG","Norte de Minas","Salinas"
"4300109","Agudo","RS","Centro Ocidental Rio-grandense","Restinga Seca"
"3500709","Agudos","SP","Bauru","Bauru"
"4100301","Agudos do Sul","PR","Metropolitana de Curitiba","Rio Negro"
"3200136","Águia Branca","ES","Noroeste Espírito-santense","Nova Venécia"
"2500205","Aguiar","PB","Sertão Paraibano","Piancó"
"1700301","Aguiarnópolis","TO","Ocidental do Tocantins","Bico do Papagaio"
"3101102","Aimorés","MG","Vale do Rio Doce","Aimorés"
"2900603","Aiquara","BA","Centro Sul Baiano","Jequié"
"2300408","Aiuaba","CE","Sertões Cearenses","Sertão de Inhamuns"
"3101201","Aiuruoca","MG","Sul/Sudoeste de Minas","Andrelândia"
"4300208","Ajuricaba","RS","Noroeste Rio-grandense","Ijuí"
"3101300","Alagoa","MG","Sul/Sudoeste de Minas","São Lourenço"
"2500304","Alagoa Grande","PB","Agreste Paraibano","Brejo Paraibano"
"2500403","Alagoa Nova","PB","Agreste Paraibano","Brejo Paraibano"
"2500502","Alagoinha","PB","Agreste Paraibano","Guarabira"
"2600609","Alagoinha","PE","Agreste Pernambucano","Vale do Ipojuca"
"2200251","Alagoinha do Piauí","PI","Sudeste Piauiense","Pio IX"
"2900702","Alagoinhas","BA","Nordeste Baiano","Alagoinhas"
"3500758","Alambari","SP","Itapetininga","Itapetininga"
"3101409","Albertina","MG","Sul/Sudoeste de Minas","Poços de Caldas"
"2100204","Alcântara","MA","Norte Maranhense","Litoral Ocidental Maranhense"
"2300507","Alcântaras","CE","Noroeste Cearense","Meruoca"
"2500536","Alcantil","PB","Borborema","Cariri Oriental"
"5000252","Alcinópolis","MS","Centro Norte de Mato Grosso do Sul","Alto Taquari"
"2900801","Alcobaça","BA","Sul Baiano","Porto Seguro"
"2100303","Aldeias Altas","MA","Leste Maranhense","Coelho Neto"
"4300307","Alecrim","RS","Noroeste Rio-grandense","Santa Rosa"
"3200201","Alegre","ES","Sul Espírito-santense","Alegre"
"4300406","Alegrete","RS","Sudoeste Rio-grandense","Campanha Ocidental"
"2200277","Alegrete do Piauí","PI","Sudeste Piauiense","Pio IX"
"4300455","Alegria","RS","Noroeste Rio-grandense","Ijuí"
"3101508","Além Paraíba","MG","Zona da Mata","Cataguases"
"1500404","Alenquer","PA","Baixo Amazonas","Santarém"
"2400505","Alexandria","RN","Oeste Potiguar","Pau dos Ferros"
"5200308","Alexânia","GO","Leste Goiano","Entorno de Brasília"
"3101607","Alfenas","MG","Sul/Sudoeste de Minas","Alfenas"
"3200300","Alfredo Chaves","ES","Central Espírito-santense","Guarapari"
"3500808","Alfredo Marcondes","SP","Presidente Prudente","Presidente Prudente"
"3101631","Alfredo Vasconcelos","MG","Campo das Vertentes","Barbacena"
"4200705","Alfredo Wagner","SC","Grande Florianópolis","Tabuleiro"
"2500577","Algodão de Jandaíra","PB","Agreste Paraibano","Curimataú Ocidental"
"2500601","Alhandra","PB","Mata Paraibana","Litoral Sul"
"2600708","Aliança","PE","Mata Pernambucana","Mata Setentrional Pernambucana"
"1700350","Aliança do Tocantins","TO","Ocidental do Tocantins","Gurupi"
"2900900","Almadina","BA","Sul Baiano","Ilhéus-Itabuna"
"1700400","Almas","TO","Oriental do Tocantins","Dianópolis"
"1500503","Almeirim","PA","Baixo Amazonas","Almeirim"
"3101706","Almenara","MG","Jequitinhonha","Almenara"
"2400604","Almino Afonso","RN","Oeste Potiguar","Umarizal"
"4100400","Almirante Tamandaré","PR","Metropolitana de Curitiba","Curitiba"
"4300471","Almirante Tamandaré do Sul","RS","Noroeste Rio-grandense","Carazinho"
"5200506","Aloândia","GO","Sul Goiano","Meia Ponte"
"3101805","Alpercata","MG","Vale do Rio Doce","Governador Valadares"
"4300505","Alpestre","RS","Noroeste Rio-grandense","Frederico Westphalen"
"3101904","Alpinópolis","MG","Sul/Sudoeste de Minas","Passos"
"5100250","Alta Floresta","MT","Norte Mato-grossense","Alta Floresta"
"1100015","Alta Floresta D'Oeste","RO","Leste Rondoniense","Cacoal"
"3500907","Altair","SP","São José do Rio Preto","São José do Rio Preto"
"1500602","Altamira","PA","Sudoeste Paraense","Altamira"
"2100402","Altamira do Maranhão","MA","Oeste Maranhense","Pindaré"
"4100459","Altamira do Paraná","PR","Centro Ocidental Paranaense","Goioerê"
"2300606","Altaneira","CE","Sul Cearense","Caririaçu"
"3102001","Alterosa","MG","Sul/Sudoeste de Minas","Alfenas"
"2600807","Altinho","PE","Agreste Pernambucano","Brejo Pernambucano"
"3501004","Altinópolis","SP","Ribeirão Preto","Batatais"
"3501103","Alto Alegre","SP","Araçatuba","Birigui"
"4300554","Alto Alegre","RS","Noroeste Rio-grandense","Cruz Alta"
"1400050","Alto Alegre","RR","Norte de Roraima","Boa Vista"
"2100436","Alto Alegre do Maranhão","MA","Leste Maranhense","Codó"
"2100477","Alto Alegre do Pindaré","MA","Oeste Maranhense","Pindaré"
"1100379","Alto Alegre dos Parecis","RO","Leste Rondoniense","Cacoal"
"5100300","Alto Araguaia","MT","Sudeste Mato-grossense","Alto Araguaia"
"4200754","Alto Bela Vista","SC","Oeste Catarinense","Concórdia"
"5100359","Alto Boa Vista","MT","Nordeste Mato-grossense","Norte Araguaia"
"3102050","Alto Caparaó","MG","Zona da Mata","Manhuaçu"
"2400703","Alto do Rodrigues","RN","Oeste Potiguar","Vale do Açu"
"4300570","Alto Feliz","RS","Metropolitana de Porto Alegre","Montenegro"
"5100409","Alto Garças","MT","Sudeste Mato-grossense","Alto Araguaia"
"5200555","Alto Horizonte","GO","Norte Goiano","Porangatu"
"3153509","Alto Jequitibá","MG","Zona da Mata","Manhuaçu"
"2200301","Alto Longá","PI","Centro-Norte Piauiense","Campo Maior"
"5100508","Alto Paraguai","MT","Centro-Sul Mato-grossense","Alto Paraguai"
"4128625","Alto Paraíso","PR","Noroeste Paranaense","Umuarama"
"1100403","Alto Paraíso","RO","Leste Rondoniense","Ariquemes"
